시간,시가,고가,저가,종가,5_종가,10_종가,20_종가,60_종가,120_종가,거래량,5_거래량,10_거래량,20_거래량,60_거래량,120_거래량
"01/29,15:30","74,400","74,400","74,400","74,400","74,960.00","75,000.00","75,025.00","74,955.00","74,833.33","1,415,380","330,601.20","182,790.20","101,205.90","66,801.88","49,493.21"
"01/29,15:19","75,200","75,200","75,100","75,100","75,080.00","75,070.00","75,060.00","74,963.33","74,835.00","38,955","53,655.40","43,296.60","41,591.80","43,344.97","37,762.63"
"01/29,15:18","75,100","75,200","75,100","75,100","75,060.00","75,070.00","75,055.00","74,960.00","74,831.67","47,529","58,964.40","41,256.90","40,288.15","42,872.37","37,470.71"
"01/29,15:17","75,200","75,200","75,100","75,100","75,060.00","75,060.00","75,050.00","74,955.00","74,828.33","34,431","55,203.80","39,102.40","38,693.00","44,703.50","37,128.73"
"01/29,15:16","75,000","75,200","75,000","75,100","75,040.00","75,060.00","75,050.00","74,948.33","74,824.17","116,711","53,040.80","37,797.50","37,835.35","44,290.90","36,880.39"
"01/29,15:15","75,000","75,100","75,000","75,000","75,040.00","75,050.00","75,050.00","74,943.33","74,820.83","30,651","34,979.20","27,751.80","36,828.10","42,479.20","35,978.68"
"01/29,15:14","75,000","75,100","75,000","75,000","75,060.00","75,060.00","75,050.00","74,938.33","74,817.50","65,500","32,937.80","26,838.80","37,061.65","42,084.58","35,766.13"
"01/29,15:13","75,000","75,100","75,000","75,100","75,080.00","75,070.00","75,050.00","74,933.33","74,815.00","28,726","23,549.40","21,960.80","34,495.75","41,099.63","35,247.00"
"01/29,15:12","75,000","75,100","75,000","75,000","75,060.00","75,060.00","75,050.00","74,928.33","74,810.83","23,616","23,001.00","20,599.40","34,103.35","40,747.83","35,059.95"
"01/29,15:11","75,000","75,100","75,000","75,100","75,080.00","75,060.00","75,050.00","74,925.00","74,808.33","26,403","22,554.20","20,679.30","33,679.35","40,607.13","34,992.71"
"01/29,15:10","75,000","75,100","75,000","75,100","75,060.00","75,050.00","75,045.00","74,918.33","74,804.17","20,444","20,524.40","19,621.60","56,494.55","40,417.08","35,706.78"
"01/29,15:09","75,000","75,100","75,000","75,100","75,060.00","75,050.00","75,035.00","74,913.33","74,799.17","18,558","20,739.80","39,887.00","56,228.00","40,189.33","35,692.52"
"01/29,15:08","75,100","75,100","75,000","75,000","75,060.00","75,040.00","75,025.00","74,906.67","74,795.00","25,984","20,372.20","39,319.40","56,532.90","39,991.90","35,560.18"
"01/29,15:07","75,000","75,100","75,000","75,100","75,060.00","75,040.00","75,020.00","74,903.33","74,791.67","21,382","18,197.80","38,283.60","56,027.40","40,032.08","35,363.55"
"01/29,15:06","75,000","75,100","75,000","75,000","75,040.00","75,040.00","75,010.00","74,898.33","74,786.67","16,254","18,804.40","37,873.20","55,628.95","40,500.92","35,331.03"
"01/29,15:05","75,000","75,100","75,000","75,100","75,040.00","75,050.00","75,010.00","74,895.00","74,783.33","21,521","18,718.80","45,904.40","55,931.80","43,523.03","35,269.89"
"01/29,15:04","75,000","75,100","75,000","75,100","75,040.00","75,040.00","75,000.00","74,891.67","74,779.17","16,720","59,034.20","47,284.50","55,781.95","43,361.38","35,107.84"
"01/29,15:03","75,100","75,100","75,000","75,000","75,020.00","75,030.00","74,990.00","74,888.33","74,774.17","15,112","58,266.60","47,030.70","57,145.60","43,488.97","34,986.91"
"01/29,15:02","75,000","75,100","75,000","75,000","75,020.00","75,040.00","74,985.00","74,885.00","74,770.00","24,415","58,369.40","47,607.30","56,826.05","43,700.03","34,889.78"
